List,VideoGroup,VerbDomain,itemID,eventType,Condition,Manner,Path,verbName,verbMeaning,ambigGoingTo,ambigDidIt,ambigV,whichOne,mBiasV,pBiasV,trainS1Going,trainS1DidIt,trainV1,Foil1,trainS2Going,trainS2DidIt,trainV2,Foil2,trainS3Going,trainS3DidIt,trainV3,Foil3,mTestV,pTestV,AudioAnimal,ambigAudioFuture,ambigAudioPast,trainAudioFuture1,trainAudioPast1,trainAudioFuture2,trainAudioPast2,trainAudioFuture3,trainAudioPast3,whichOneAudio,letsFindAudio,starImage,xxxxx,ext_Path_Effect,extVerbName,ext_Manner_Means,extBiasVid,extAmbigAudioFuture,extAmbigAudioPast,extTestMannerVid,extTestPathVid,extLetsFind,extWhichOne,extStarImage,
1,MoM_Agentive,Motion,1.1,Motion,Manner,crabwalk,into,krading,crabwalk,The monster is going to krade into the garage.,The monster kraded into the garage.,crabwalk.into.garage.5s.mov,Which one is krading?,crabwalk.down.birdhouse.5s.mov,hop.into.cabin.5s.mov,The monster is going to krade through the tunnel.,The monster kraded through the tunnel.,crabwalk.through.tunnel.5s.mov,stoopwalk.around.fountain.5.mov,The monster is going to krade over the tires.,The monster kraded over the tires.,crabwalk.over.tires.5s.mov,crawl.between.mailboxes.5.mov,The monster is going to krade in front of the bell.,The monster kraded in front of the bell.,crabwalk.front.bell.5s.mov,flapwalk.through.waterfall.5.mov,crabwalk.up.policebox.5s.mov,roll.into.tower.5s.mov,cat.wav,krading_manner_future_garage.wav,krading_manner_past_garage.wav,krading_manner_future_tunnel.wav,krading_manner_past_tunnel.wav,krading_manner_future_tires.wav,krading_manner_past_tires.wav,krading_manner_future_bell.wav,krading_manner_past_bell.wav,which_krading.wav,letsfindkrading.wav,stars.004.jpg,xxxxx,NA,NA,NA,,,,NA,NA,NA,NA,NA,
1,MoM_Agentive,Motion,1.2,Motion,Manner,stoopwalk,through,pimming,stoopwalk,The monster is going to pim through the flowers.,The monster pimmed through the flowers.,stoopwalk.through.flowers.5s.mov,Which one is pimming?,stoopwalk.between.swings.5s.mov,tiptoe.through.lighthouse.5s.mov,The monster is going to pim into the barn.,The monster pimmed into the barn.,stoopwalk.into.barn.5s.mov,walk.down.cow.5.mov,The monster is going to pim around the fountain.,The monster pimmed around the fountain.,stoopwalk.around.fountain.5s.mov,hop.over.book.5.mov,The monster is going to pim up to the monkey.,The monster pimmed up to the monkey.,stoopwalk.up.monkey.5s.mov,roll.down.eagle.5.mov,stoopwalk.front.fishtank.5s.mov,crawl.through.pyramid.5s.mov,bear.wav,pimming_manner_future_flowers.wav,pimming_manner_past_flowers.wav,pimming_manner_future_barn.wav,pimming_manner_past_barn.wav,pimming_manner_future_fountain.wav,pimming_manner_past_fountain.wav,pimming_manner_future_monkey.wav,pimming_manner_past_monkey.wav,which_pimming.wav,letsfindpimming.wav,stars.009.jpg,xxxxx,NA,NA,NA,,,,NA,NA,NA,NA,NA,
1,MoM_Agentive,Motion,1.3,Motion,Manner,flapwalk,up,zarking,flapwalk,The monster is going to zark up to the cat.,The monster zarked up to the cat.,flapwalk.up.cat.5s.mov,Which one is zarking?,flapwalk.around.horse.5s.mov,crawl.up.swan.5s.mov,The monster is going to zark in front of the penguin.,The monster zarked in front of the penguin.,flapwalk.front.penguin.5s.mov,walk.down.cow.5.mov,The monster is going to zark between the seesaws.,The monster zarked between the seesaws.,flapwalk.between.seesaws.5s.mov,crabwalk.over.tires.5.mov,The monster is going to zark through the waterfall.,The monster zarked through the waterfall.,flapwalk.through.waterfall.5s.mov,roll.down.eagle.5.mov,flapwalk.into.igloo.5s.mov,tiptoe.up.well.5s.mov,dog.wav,zarking_manner_future_cat.wav,zarking_manner_past_cat.wav,zarking_manner_future_penguin.wav,zarking_manner_past_penguin.wav,zarking_manner_future_seesaws.wav,zarking_manner_past_seesaws.wav,zarking_manner_future_waterfall.wav,zarking_manner_past_waterfall.wav,which_zarking.wav,letsfindzarking.wav,stars.006.jpg,xxxxx,NA,NA,NA,,,,NA,NA,NA,NA,NA,
1,MoM_Agentive,Motion,1.4,Motion,Manner,hop,around,molking,hop,The monster is going to molk around the penguin.,The monster molked around the penguin.,hop.around.penguin.5s.mov,Which one is molking?,hop.up.deer.5s.mov,crawl.around.birdhouse.5s.mov,The monster is going to molk over the book.,The monster molked over the book.,hop.over.book.5s.mov,flapwalk.front.penguin.5.mov,The monster is going to molk through the tree.,The monster molked through the tree.,hop.through.tree.5s.mov,tiptoe.into.spaceship.5.mov,The monster is going to molk between the snowmen.,The monster molked between the snowmen.,hop.between.snowmen.5s.mov,roll.front.giraffe.5.mov,hop.down.gazebo.5s.mov,walk.around.goat.5s.mov,turtle.wav,molking_manner_future_penguin.wav,molking_manner_past_penguin.wav,molking_manner_future_book.wav,molking_manner_past_book.wav,molking_manner_future_tree.wav,molking_manner_past_tree.wav,molking_manner_future_snowmen.wav,molking_manner_past_snowmen.wav,which_molking.wav,letsfindmolking.wav,stars.007.jpg,xxxxx,NA,NA,NA,,,,NA,NA,NA,NA,NA,
1,MoM_Agentive,Motion,1.5,Motion,Manner,roll,between,torging,roll,The monster is going to torg between the trees.,The monster torged between the trees.,roll.between.trees.5s.mov,Which one is torging?,roll.through.tent.5s.mov,walk.between.buildings.5s.mov,The monster is going to torg down to the eagle.,The monster torged down to the eagle.,roll.down.eagle.5s.mov,stoopwalk.into.barn.5.mov,The monster is going to torg up to the snowman.,The monster torged up to the snowman.,roll.up.snowman.5s.mov,flapwalk.front.penguin.5.mov,The monster is going to torg around the drum.,The monster torged around the drum.,roll.around.drum.5s.mov,tiptoe.down.dog.5.mov,roll.over.bush.5s.mov,crabwalk.between.lights.5s.mov,duck.wav,torging_manner_future_trees.wav,torging_manner_past_trees.wav,torging_manner_future_eagle.wav,torging_manner_past_eagle.wav,torging_manner_future_snowman.wav,torging_manner_past_snowman.wav,torging_manner_future_drum.wav,torging_manner_past_drum.wav,which_torging.wav,letsfindtorging.wav,stars.008.jpg,xxxxx,NA,NA,NA,,,,NA,NA,NA,NA,NA,
1,MoM_Agentive,Motion,1.6,Motion,Manner,crawl,down,glipping,crawl,The monster is going to glip down to the clown.,The monster glipped down to the clown.,crawl.down.clown.5s.mov,Which one is glipping?,crawl.into.cave.5s.mov,flapwalk.down.frog.5s.mov,The monster is going to glip between the mailboxes.,The monster glipped between the mailboxes.,crawl.between.mailboxes.5s.mov,hop.through.tree.5.mov,The monster is going to glip in front of the bench.,The monster glipped in front of the bench.,crawl.front.bench.5s.mov,tiptoe.around.spaceship.5.mov,The monster is going to glip over the mountain.,The monster glipped over the mountain.,crawl.over.mountain.5s.mov,crabwalk.through.tunnel.5.mov,crawl.up.scarecrow.5s.mov,stoopwalk.down.lamp.5s.mov,butterfly.wav,glipping_manner_future_clown.wav,glipping_manner_past_clown.wav,glipping_manner_future_mailboxes.wav,glipping_manner_past_mailboxes.wav,glipping_manner_future_bench.wav,glipping_manner_past_bench.wav,glipping_manner_future_mountain.wav,glipping_manner_past_mountain.wav,which_glipping.wav,letsfindglipping.wav,stars.005.jpg,xxxxx,NA,NA,NA,,,,NA,NA,NA,NA,NA,
1,MoM_Agentive,Motion,1.7,Motion,Manner,tiptoe,over,birking,tiptoe,The monster is going to birk over the cone.,The monster birked over the cone.,tiptoe.over.cone.5s.mov,Which one is birking?,tiptoe.front.snowplow.5s.mov,stoopwalk.over.haystack.5s.mov,The monster is going to birk around the spaceship.,The monster birked around the spaceship.,tiptoe.around.spaceship.5s.mov,walk.up.owl.5.mov,The monster is going to birk down to the dog.,The monster birked down to the dog.,tiptoe.down.dog.5s.mov,hop.through.tree.5.mov,The monster is going to birk into the spaceship.,The monster birked into the spaceship.,tiptoe.into.spaceship2.5s.mov,roll.around.drum.5.mov,tiptoe.between.pigs.5s.mov,flapwalk.over.plane.5s.mov,frog.wav,birking_manner_future_cone.wav,birking_manner_past_cone.wav,birking_manner_future_spaceship.wav,birking_manner_past_spaceship.wav,birking_manner_future_dog.wav,birking_manner_past_dog.wav,birking_manner_future_spaceship2.wav,birking_manner_past_spaceship2.wav,which_birking.wav,letsfindbirking.wav,stars.010.jpg,xxxxx,NA,NA,NA,,,,NA,NA,NA,NA,NA,
1,MoM_Agentive,Motion,1.8,Motion,Manner,walk,front,dacking,walk,The monster is going to dack in front of the elephant.,The monster dacked in front of the elephant.,walk.front.elephant.5s.mov,Which one is dacking?,walk.over.sandpile.5s.mov,roll.front.giraffe.5s.mov,The monster is going to dack into the castle.,The monster dacked into the castle.,walk.into.castle.5s.mov,flapwalk.between.seesaws.5.mov,The monster is going to dack down to the cow.,The monster dacked down to the cow.,walk.down.cow.5s.mov,stoopwalk.around.fountain.5.mov,The monster is going to dack up to the owl.,The monster dacked up to the owl.,walk.up.owl.5s.mov,crawl.between.mailboxes.5.mov,walk.through.hut.5s.mov,hop.front.bunny.5s.mov,bee.wav,dacking_manner_future_elephant.wav,dacking_manner_past_elephant.wav,dacking_manner_future_castle.wav,dacking_manner_past_castle.wav,dacking_manner_future_cow.wav,dacking_manner_past_cow.wav,dacking_manner_future_owl.wav,dacking_manner_past_owl.wav,which_dacking.wav,letsfinddacking.wav,stars.011.jpg,xxxxx,NA,NA,NA,,,,NA,NA,NA,NA,NA,
3,MoM_Agentive,Motion,3.1,Motion,Path,crabwalk,into,krading,into,The monster is going to krade into the garage.,The monster kraded into the garage.,crabwalk.into.garage.5.mov,Which one is krading?,crabwalk.down.birdhouse.5.mov,hop.into.cabin.5.mov,The monster is going to krade into the barn.,The monster kraded into the barn.,stoopwalk.into.barn.5.mov,crawl.between.mailboxes.5.mov,The monster is going to krade into the spaceship.,The monster kraded into the spaceship.,tiptoe.into.spaceship.5.mov,flapwalk.front.penguin.5.mov,The monster is going to krade into the castle.,The monster kraded into the castle.,walk.into.castle.5.mov,crawl.over.mountain.5.mov,crabwalk.up.cat.5.mov,roll.into.tower.5.mov,lion.wav,krading_path_future_garage.wav,krading_path_past_garage.wav,krading_path_future_barn.wav,krading_path_past_barn.wav,krading_path_future_spaceship.wav,krading_path_past_spaceship.wav,krading_path_future_castle.wav,krading_path_past_castle.wav,which_krading.wav,letsfindkrading.wav,stars.004.jpg,xxxxx,NA,NA,NA,,,,NA,NA,NA,NA,NA,
3,MoM_Agentive,Motion,3.2,Motion,Path,stoopwalk,through,pimming,through,The monster is going to pim through the flowers.,The monster pimmed through the flowers.,stoopwalk.through.flowers.5.mov,Which one is pimming?,stoopwalk.between.swings.5.mov,tiptoe.through.lighthouse.5.mov,The monster is going to pim through the tunnel.,The monster pimmed through the tunnel.,crabwalk.through.tunnel.5.mov,walk.up.owl.5.mov,The monster is going to pim through the tree.,The monster pimmed through the tree.,hop.through.tree.5.mov,roll.down.eagle.5.mov,The monster is going to pim through the waterfall.,The monster pimmed through the waterfall.,flapwalk.through.waterfall.5.mov,crabwalk.over.tires.5.mov,stoopwalk.front.fishtank.5.mov,crawl.through.pyramid.5.mov,dog.wav,pimming_path_future_flowers.wav,pimming_path_past_flowers.wav,pimming_path_future_tunnel.wav,pimming_path_past_tunnel.wav,pimming_path_future_trees.wav,pimming_path_past_trees.wav,pimming_path_future_waterfall.wav,pimming_path_past_waterfall.wav,which_pimming.wav,letsfindpimming.wav,stars.009.jpg,xxxxx,NA,NA,NA,,,,NA,NA,NA,NA,NA,
