List,VideoGroup,VerbDomain,itemID,eventType,Condition,Manner,Path,verbName,verbMeaning,ambigGoingTo,ambigDidIt,ambigV,whichOne,mBiasV,pBiasV,trainS1Going,trainS1DidIt,trainV1,Foil1,trainS2Going,trainS2DidIt,trainV2,Foil2,trainS3Going,trainS3DidIt,trainV3,Foil3,mTestV,pTestV,AudioAnimal,ambigAudioFuture,ambigAudioPast,trainAudioFuture1,trainAudioPast1,trainAudioFuture2,trainAudioPast2,trainAudioFuture3,trainAudioPast3,whichOneAudio,letsFindAudio,starImage,xxxxx,ext_Path_Effect,extVerbName,ext_Manner_Means,extBiasVid,extAmbigAudioFuture,extAmbigAudioPast,extTestMannerVid,extTestPathVid,extLetsFind,extWhichOne,extStarImage,
3,MoM_Agentive,Motion,3.3,Motion,Path,flapwalk,up,zarking,up,The monster is going to zark up to the cat.,The monster zarked up to the cat.,flapwalk.up.cat.5.mov,Which one is zarking?,flapwalk.around.horse.5.mov,crawl.up.swan.5.mov,The monster is going to zark up to the owl.,The monster zarked up to the owl.,walk.up.owl.5.mov,hop.over.book.5.mov,The monster is going to zark up to the snowman.,The monster zarked up to the snowman.,roll.up.snowman.5.mov,crabwalk.through.tunnel.5.mov,The monster is going to zark up to the monkey.,The monster zarked up to the monkey.,stoopwalk.up.monkey.5.mov,walk.down.cow.5.mov,flapwalk.into.igloo.5.mov,tiptoe.up.well.5.mov,bear.wav,zarking_path_future_cat.wav,zarking_path_past_cat.wav,zarking_path_future_owl.wav,zarking_path_past_owl.wav,zarking_path_future_snowman.wav,zarking_path_past_snowman.wav,zarking_path_future_monkey.wav,zarking_path_past_monkey.wav,which_zarking.wav,letsfindzarking.wav,stars.006.jpg,xxxxx,NA,NA,NA,,,,NA,NA,NA,NA,NA,
3,MoM_Agentive,Motion,3.4,Motion,Path,hop,around,molking,around,The monster is going to molk around the penguin.,The monster molked around the penguin.,hop.around.penguin.5.mov,Which one is molking?,hop.up.deer.5.mov,crawl.around.birdhouse.5.mov,The monster is going to molk around the spaceship.,The monster molked around the spaceship.,tiptoe.around.spaceship.5.mov,flapwalk.through.waterfall.5.mov,The monster is going to molk around the fountain.,The monster molked around the fountain.,stoopwalk.around.fountain.5.mov,crabwalk.front.bell.5.mov,The monster is going to molk around the drum.,The monster molked around the drum.,roll.around.drum.5.mov,tiptoe.into.spaceship.5.mov,hop.down.gazebo.5.mov,walk.around.goat.5.mov,frog.wav,molking_path_future_penguin.wav,molking_path_past_penguin.wav,molking_path_future_spaceship.wav,molking_path_past_spaceship.wav,molking_path_future_fountain.wav,molking_path_past_fountain.wav,molking_path_future_drum.wav,molking_path_past_drum.wav,which_molking.wav,letsfindmolking.wav,stars.007.jpg,xxxxx,NA,NA,NA,,,,NA,NA,NA,NA,NA,
3,MoM_Agentive,Motion,3.5,Motion,Path,roll,between,torging,between,The monster is going to torg between the trees.,The monster torged between the trees.,roll.between.trees.5.mov,Which one is torging?,roll.through.tent.5.mov,walk.between.buildings.5.mov,The monster is going to torg between the mailboxes.,The monster torged between the mailboxes.,crawl.between.mailboxes.5.mov,stoopwalk.into.barn.5.mov,The monster is going to torg between the seesaws.,The monster torged between the seesaws.,flapwalk.between.seesaws.5.mov,tiptoe.down.dog.5.mov,The monster is going to torg between the snowmen.,The monster torged between the snowmen.,hop.between.snowmen.5.mov,crawl.around.birdhouse.5.mov,roll.over.bush.5.mov,crabwalk.between.lights.5.mov,bird.wav,torging_path_future_trees.wav,torging_path_past_trees.wav,torging_path_future_mailboxes.wav,torging_path_past_mailboxes.wav,torging_path_future_seesaws.wav,torging_path_past_seesaws.wav,torging_path_future_snowmen.wav,torging_path_past_snowmen.wav,which_torging.wav,letsfindtorging.wav,stars.008.jpg,xxxxx,NA,NA,NA,,,,NA,NA,NA,NA,NA,
3,MoM_Agentive,Motion,3.6,Motion,Path,crawl,down,glipping,down,The monster is going to glip down to the clown.,The monster glipped down to the clown.,crawl.down.clown.5.mov,Which one is glipping?,crawl.into.cave.5.mov,flapwalk.down.frog.5.mov,The monster is going to glip down to the eagle.,The monster glipped down to the eagle.,roll.down.eagle.5.mov,hop.between.snowmen.5.mov,The monster is going to glip down to the cow.,The monster glipped down to the cow.,walk.down.cow.5.mov,crabwalk.over.tires.5.mov,The monster is going to glip down to the dog.,The monster glipped down to the dog.,tiptoe.down.dog.5.mov,roll.around.drum.5.mov,crawl.up.bus.mov,stoopwalk.down.lamp.5.mov,bee.wav,glipping_path_future_clown.wav,glipping_path_past_clown.wav,glipping_path_future_eagle.wav,glipping_path_past_eagle.wav,glipping_path_future_cow.wav,glipping_path_past_cow.wav,glipping_path_future_dog.wav,glipping_path_past_dog.wav,which_glipping.wav,letsfindglipping.wav,stars.005.jpg,xxxxx,NA,NA,NA,,,,NA,NA,NA,NA,NA,
3,MoM_Agentive,Motion,3.7,Motion,Path,tiptoe,over,birking,over,The monster is going to birk over the cone.,The monster birked over the cone.,tiptoe.over.cone.5.mov,Which one is birking?,tiptoe.front.snowplow.5.mov,stoopwalk.over.haystack.5.mov,The monster is going to birk over the book.,The monster birked over the book.,hop.over.book.5.mov,walk.into.castle.5.mov,The monster is going to birk over the tires.,The monster birked over the tires.,crabwalk.over.tires.5.mov,roll.up.snowman.5.mov,The monster is going to birk over the mountain.,The monster birked over the mountain.,crawl.over.mountain.5.mov,hop.through.tree.5.mov,tiptoe.between.pigs.5.mov,flapwalk.over.plane.5.mov,duck.wav,birking_path_future_cone.wav,birking_path_past_cone.wav,birking_path_future_book.wav,birking_path_past_book.wav,birking_path_future_tires.wav,birking_path_past_tires.wav,birking_path_future_mountain.wav,birking_path_past_mountain.wav,which_birking.wav,letsfindbirking.wav,stars.010.jpg,xxxxx,NA,NA,NA,,,,NA,NA,NA,NA,NA,
3,MoM_Agentive,Motion,3.8,Motion,Path,walk,front,dacking,front,The monster is going to dack in front of the elephant.,The monster dacked in front of the elephant.,walk.front.elephant.5.mov,Which one is dacking?,walk.over.sandpile.5.mov,roll.front.giraffe.5.mov,The monster is going to dack in front of the penguin.,The monster dacked in front of the penguin.,flapwalk.front.penguin.5.mov,stoopwalk.up.monkey.5.mov,The monster is going to dack in front of the bench.,The monster dacked in front of the bench.,crawl.front.bench.5.mov,tiptoe.around.spaceship.5.mov,The monster is going to dack in front of the bell.,The monster dacked in front of the bell.,crabwalk.front.bell.5.mov,flapwalk.between.seesaws.5.mov,walk.through.hut.5.mov,hop.front.bunny.5.mov,cat.wav,dacking_path_future_elephant.wav,dacking_path_past_elephant.wav,dacking_path_future_penguin.wav,dacking_path_past_penguin.wav,dacking_path_future_bench.wav,dacking_path_past_bench.wav,dacking_path_future_bell.wav,dacking_path_past_bell.wav,which_dacking.wav,letsfinddacking.wav,stars.011.jpg,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
