subjectID,calib_point_X,calib_point_Y,L_sample_valid,L_sample_X,L_sample_Y,R_sample_valid,R_sample_X,R_sample_Y
g,0.5,0.5,1,0.497697114944458,0.52893191576004,1,0.484932690858841,0.529105424880981
g,0.5,0.5,1,0.501480042934418,0.534433126449585,1,0.482963919639587,0.549717724323273
g,0.5,0.5,1,0.513317704200745,0.540873646736145,1,0.497600853443146,0.51025915145874
g,0.5,0.5,1,0.506625294685364,0.537546694278717,1,0.49042797088623,0.532831907272339
g,0.5,0.5,1,0.51401698589325,0.526994645595551,1,0.484413892030716,0.507730901241302
g,0.5,0.5,1,0.498884975910187,0.538081645965576,1,0.477950632572174,0.524472594261169
g,0.5,0.5,1,0.515212178230286,0.553876519203186,1,0.504473626613617,0.519988775253296
g,0.5,0.5,1,0.507433831691742,0.541897833347321,1,0.48720195889473,0.536250054836273
g,0.5,0.5,1,0.502621114253998,0.539762258529663,1,0.483014762401581,0.530124425888062
g,0.5,0.5,1,0.497915238142014,0.543637812137604,1,0.47742947936058,0.534152209758759
g,0.5,0.5,1,0.494651287794113,0.527010798454285,1,0.487882256507874,0.523919463157654
g,0.5,0.5,1,0.500532031059265,0.532698035240173,1,0.49309378862381,0.524989068508148
g,0.5,0.5,1,0.499752998352051,0.541549980640411,1,0.492087215185165,0.526217341423035
g,0.5,0.5,1,0.49340495467186,0.537740290164948,1,0.488609582185745,0.533068656921387
g,0.5,0.5,1,0.513773798942566,0.538882851600647,1,0.494587033987045,0.522724330425262
g,0.5,0.5,1,0.502043306827545,0.540544867515564,1,0.488912612199783,0.527563631534576
g,0.899999976158142,0.899999976158142,1,0.891648054122925,0.909042119979858,1,0.877426862716675,0.884071707725525
g,0.899999976158142,0.899999976158142,1,0.906168818473816,0.900854349136353,1,0.878848135471344,0.884639024734497
g,0.899999976158142,0.899999976158142,1,0.88725358247757,0.895575344562531,1,0.880552709102631,0.881030440330505
g,0.899999976158142,0.899999976158142,1,0.893526315689087,0.896738827228546,1,0.880629181861877,0.886430501937866
g,0.899999976158142,0.899999976158142,1,0.903299272060394,0.897171080112457,1,0.889801323413849,0.882824242115021
g,0.899999976158142,0.899999976158142,1,0.891386091709137,0.90961354970932,1,0.884906232357025,0.875571489334106
g,0.899999976158142,0.899999976158142,1,0.888227343559265,0.895785689353943,1,0.884436547756195,0.879641830921173
g,0.899999976158142,0.899999976158142,1,0.898968577384949,0.893885374069214,1,0.890524983406067,0.877239763736725
g,0.899999976158142,0.899999976158142,1,0.899365067481995,0.907029211521149,1,0.887089908123016,0.87723845243454
g,0.899999976158142,0.899999976158142,1,0.890452682971954,0.910578191280365,1,0.884917736053467,0.887366592884064
g,0.899999976158142,0.899999976158142,1,0.890870451927185,0.903478145599365,1,0.873804330825806,0.86253148317337
g,0.899999976158142,0.899999976158142,1,0.892363250255585,0.905263245105743,1,0.859969973564148,0.887317657470703
g,0.899999976158142,0.899999976158142,1,0.889022707939148,0.903763651847839,1,0.869760155677795,0.878412246704102
g,0.899999976158142,0.899999976158142,1,0.893215954303741,0.916831314563751,1,0.877600252628326,0.894233226776123
g,0.899999976158142,0.899999976158142,1,0.881605327129364,0.905825138092041,1,0.880247056484222,0.87680983543396
g,0.899999976158142,0.899999976158142,1,0.889883100986481,0.903865396976471,1,0.876201987266541,0.889277219772339
g,0.899999976158142,0.100000001490116,1,0.896056890487671,0.0865951031446457,1,0.923037946224213,0.0932682082056999
g,0.899999976158142,0.100000001490116,1,0.897277653217316,0.0837229415774345,1,0.920842409133911,0.0967123135924339
g,0.899999976158142,0.100000001490116,1,0.893875181674957,0.0874862894415855,1,0.921338737010956,0.0882884934544563
g,0.899999976158142,0.100000001490116,1,0.888071238994598,0.0926883667707443,1,0.92362242937088,0.0974180102348328
g,0.899999976158142,0.100000001490116,1,0.887126326560974,0.0959915891289711,1,0.92174369096756,0.0946560800075531
g,0.899999976158142,0.100000001490116,1,0.888951301574707,0.0963308215141296,1,0.917134463787079,0.0930022895336151
g,0.899999976158142,0.100000001490116,1,0.899674534797668,0.0818759500980377,1,0.920537889003754,0.0988975837826729
g,0.899999976158142,0.100000001490116,1,0.894031643867493,0.0909749120473862,1,0.925694644451141,0.0886847823858261
g,0.899999976158142,0.100000001490116,1,0.895195007324219,0.0927574932575226,1,0.922164916992188,0.0971652343869209
g,0.899999976158142,0.100000001490116,1,0.896960556507111,0.0962653756141663,1,0.921024918556213,0.0933108031749725
g,0.899999976158142,0.100000001490116,1,0.894782900810242,0.10029249638319,1,0.925307929515839,0.0883494690060616
g,0.899999976158142,0.100000001490116,1,0.889478862285614,0.0949108675122261,1,0.928362190723419,0.0869527235627174
g,0.100000001490116,0.899999976158142,1,0.115707680583,0.888808786869049,1,0.104291774332523,0.901596426963806
g,0.100000001490116,0.899999976158142,1,0.163445189595222,0.880008697509766,1,0.140052407979965,0.870119154453278
g,0.100000001490116,0.899999976158142,1,0.111102640628815,0.885447204113007,1,0.10258162021637,0.893062591552734
g,0.100000001490116,0.899999976158142,1,0.111552700400352,0.889410376548767,1,0.110974997282028,0.900378823280334
g,0.100000001490116,0.899999976158142,1,0.12552598118782,0.883636951446533,1,0.109942957758904,0.929499387741089
g,0.100000001490116,0.899999976158142,1,0.112364396452904,0.892239451408386,1,0.113425083458424,0.89578902721405
g,0.100000001490116,0.899999976158142,1,0.124280959367752,0.879132330417633,1,0.113921836018562,0.897284090518951
g,0.100000001490116,0.899999976158142,1,0.117094293236732,0.889500617980957,1,0.10924194008112,0.900003492832184
